Time,Relative Humidity [%],Relative Air Pressure [kPa],Wind Direction [deg],Precipitation Type,Wind Measurement Quality [%],Global Radiation [W/m2],Air Temperature [degC],Dew Point [degC],Wind Chill Temperature [degC],Wind Speed [m/s],Precipitation Accumulation [mm],A1,A2,A3,A5,A6,A7,B1,B2,B3,B5,B6,B7,C1,C2,C3,C5,C6,C7,D1,D2,D3,D5,D6,D7,E1,E2,E3,E5,E6,E7,F1,F2,F3,F5,F6,F7,G1,G2,G3,G5,G6,G7,H1,H2,H3,H5,H6,H7,SV1,SV2,SV4,SV5,SV6,Thermostat,SV2 New,SV3 New,IDU Return Air,Bath2 SV,IDU Distributor,IDU CoilInt,IDU CoilOut,IDU CoilIn,ODU CoilOut,ODU CompSuc,ODU CoilInt,ODU CoilIn,ODU CompDis,ODU Coil2,ODU Coil3,BGlobe,Kitchen Pyranometer [V] ,Living Room Pyranometer [V] ,Master Bedroom Pyranometer [V] ,Bedroom 2 Pyranometer [V] ,Bedroom 3 Pyranometer [V] ,Kitchen Irradiance [W/m2] ,Living Room Irradiance [W/m2],Master Bedroom Irradiance [W/m2],Bedroom 2 Irradiance [W/m2],Bedroom 3 Irradiance [W/m2],SV3 RH[%],BR3 RH [%],SV1 RH [%],BR1-SV1 RH [%],MB RH [%],SV2 RH [%],BR1 SV2 RH [%],BR3 SV RH [%],BTH SV RH [%],TstatRH [%]
7/8/2024 9:37:47 AM,93.900000,100.440000,29.100000,40.000000,100.000000,0.000000,22.000000,21.000000,20.100000,9.400000,0.000000,23.941585,23.599810,21.305052,23.717889,23.547066,21.336850,23.168054,22.941925,20.962972,23.004380,22.941696,21.335698,22.918503,22.795859,20.805910,22.934347,22.886828,22.988784,21.179008,23.215579,23.065236,21.033085,23.226136,23.117575,21.117924,22.999346,22.867996,20.999192,22.853527,22.817927,20.926554,22.741435,21.574686,23.144753,22.979004,21.384192,23.329029,23.250783,22.406469,23.177574,23.067625,21.365991,23.093565,23.063722,20.941175,23.097008,23.019643,21.113638,23.801876,23.954964,23.407011,23.429721,23.427198,23.660203,23.551283,21.592167,22.313334,22.248718,17.933147,17.331160,17.941967,18.459479,20.739100,21.587561,21.315999,21.219211,25.227278,23.198711,22.910672,24.865484,-0.446453,-0.487142,-0.448422,-0.336858,-0.069104,-846.453398,-887.141518,-848.422178,-736.857969,-469.103795,55.141628,59.113412,54.682083,55.043154,55.699647,115.407687,68.829509,170.684383,65.448570,61.837798
7/8/2024 9:38:17 AM,94.000000,100.440000,27.300000,40.000000,100.000000,0.000000,22.000000,21.000000,19.900000,8.200000,0.000000,23.944868,23.604242,21.300059,23.714755,23.547829,21.339230,23.171573,22.942690,20.942294,23.013410,22.948890,21.337387,22.906866,22.795935,20.799988,22.932816,22.887212,22.977228,21.176397,23.221011,23.074343,21.033009,23.220552,23.137928,21.117387,23.003632,22.864246,20.994273,22.866313,22.841968,20.932935,22.746412,21.579415,23.138219,22.984408,21.384777,23.328693,23.266969,22.414178,23.189173,23.084276,21.359203,23.106084,23.073257,20.950062,23.106313,23.025276,21.116527,23.805701,23.955808,23.409233,23.437907,23.420932,23.673429,23.520021,21.627327,22.315561,22.277160,17.943287,17.337826,17.963711,18.473317,20.727492,21.532907,21.318919,21.239648,25.138072,23.194980,22.912710,24.858880,-0.354249,-0.391328,-0.382468,-0.287310,-0.016931,-754.248861,-791.327555,-782.468044,-687.310329,-416.931092,55.437050,59.113412,54.616434,54.977505,55.699647,26.387228,68.927983,76.215056,65.514219,61.575201
7/8/2024 9:38:47 AM,94.000000,100.440000,27.300000,40.000000,100.000000,0.000000,22.000000,21.000000,19.900000,8.200000,0.000000,23.941347,23.605763,21.300205,23.717880,23.547287,21.351818,23.177227,22.952939,20.961580,23.037203,22.977278,21.368407,22.929057,22.807565,20.801057,22.940998,22.883796,22.977486,21.179653,23.227237,23.064042,21.040416,23.219663,23.164123,21.107504,23.000906,22.869327,20.993380,22.898034,22.873461,20.914284,22.751495,21.584185,23.157204,22.985949,21.398303,23.360747,23.279065,22.446524,23.222155,23.108772,21.362823,23.114741,23.078242,20.949073,23.111527,23.042429,21.140896,23.807505,23.959674,23.416774,23.427096,23.424114,23.676838,23.518615,21.693150,22.327487,22.314381,17.963448,17.359641,17.981086,18.485573,20.721463,21.531726,21.340574,21.295872,25.103325,23.193123,22.938973,24.879880,-0.343421,-0.379187,-0.388046,-0.316842,-0.058604,-743.420570,-779.186744,-788.046255,-716.842035,-458.603628,55.404226,59.113412,54.780557,54.911856,55.633998,153.976643,68.993632,214.111373,65.579868,62.100396
7/8/2024 9:39:17 AM,94.000000,100.440000,27.300000,40.000000,100.000000,0.000000,22.000000,21.000000,19.900000,8.200000,0.000000,23.948774,23.612049,21.306060,23.732417,23.563663,21.356521,23.187649,22.956707,20.964673,23.045332,22.993904,21.356982,22.932367,22.815469,20.809456,22.945456,22.890875,22.975150,21.182378,23.231327,23.069970,21.031615,23.230180,23.150082,21.111844,23.013953,22.884675,21.001180,22.904654,22.874570,20.934077,22.757658,21.604103,23.167646,22.999609,21.396804,23.359943,23.307402,22.446408,23.216531,23.102229,21.359941,23.109804,23.087537,20.956105,23.107508,23.046674,21.135707,23.824414,23.981160,23.429339,23.457094,23.437597,23.699942,23.488518,21.684349,22.334333,22.352267,17.984979,17.357265,18.016076,18.504066,20.744713,21.614811,21.344944,21.295403,25.184228,23.182297,22.945812,24.866191,-0.313233,-0.341452,-0.339811,-0.266310,-0.007743,-713.232605,-741.451789,-739.811139,-666.310004,-407.743446,55.305752,59.146236,55.404226,55.010330,55.699647,122.924531,68.665386,196.090651,66.039414,61.804974
7/8/2024 9:39:47 AM,94.000000,100.440000,27.300000,40.000000,100.000000,0.000000,22.000000,21.000000,19.900000,8.200000,0.000000,23.942839,23.606568,21.308618,23.727397,23.556348,21.359770,23.193410,22.962930,20.963082,23.052472,22.993468,21.371520,22.935834,22.825139,20.813401,22.950301,22.908066,22.983843,21.175892,23.236803,23.081416,21.040805,23.233819,23.152804,21.111811,23.009329,22.885561,20.996305,22.883724,22.855934,20.934736,22.761531,21.590813,23.164269,23.007711,21.403782,23.358403,23.304485,22.442107,23.221646,23.099999,21.356091,23.107574,23.082094,20.958016,23.107574,23.041919,21.136927,23.837122,23.990198,23.443892,23.464995,23.443663,23.657400,23.525775,21.683070,22.334206,22.361566,17.983226,17.388739,18.032423,18.503011,20.747123,21.612150,21.336795,21.255683,25.166775,23.189684,22.936796,24.876087,-0.303717,-0.332592,-0.328983,-0.257779,-0.002165,-703.716833,-732.592278,-728.982848,-657.778622,-402.165232,55.404226,59.835554,54.846206,55.043154,55.765297,81.532650,68.927983,149.381193,65.645518,62.888187
7/8/2024 9:40:17 AM,94.000000,100.440000,27.300000,40.000000,100.000000,0.000000,22.000000,21.000000,19.900000,8.200000,0.000000,23.964502,23.630998,21.308051,23.746318,23.580322,21.379708,23.195370,22.979816,20.980962,23.056499,22.995888,21.370493,22.937795,22.833761,20.832210,22.955247,22.911124,22.992640,21.182649,23.245595,23.079422,21.043875,23.238252,23.154712,21.121566,23.019962,22.884255,21.003064,22.877595,22.840619,20.939421,22.766657,21.592247,23.164322,23.002024,21.405447,23.372450,23.308897,22.434804,23.218715,23.106250,21.356605,23.116120,23.089493,20.958761,23.111529,23.046564,21.142973,23.812812,23.985601,23.436308,23.478513,23.447548,23.672059,23.561995,21.701244,22.324764,22.389369,18.005954,17.402434,18.058397,18.517831,20.738572,21.612596,21.344424,21.262622,25.197653,23.205337,22.937490,24.894236,-0.313889,-0.345389,-0.348014,-0.286654,-0.039572,-713.888865,-745.389350,-748.014390,-686.654069,-439.572077,55.502699,59.376009,55.535524,55.666823,55.765297,132.378028,68.829509,191.462378,65.809641,62.724064
7/8/2024 9:40:47 AM,94.000000,100.440000,27.300000,40.000000,100.000000,0.000000,22.000000,21.000000,19.900000,8.200000,0.000000,23.962683,23.629636,21.305761,23.734641,23.572997,21.354148,23.191482,22.965364,20.973136,23.040672,22.989244,21.365438,22.942861,22.816090,20.819076,22.948602,22.932309,23.005327,21.198150,23.259193,23.101059,21.051772,23.244506,23.151787,21.135686,23.037699,22.892352,21.015805,22.878802,22.831030,20.938788,22.781646,21.595417,23.164956,23.006102,21.405393,23.372626,23.314350,22.426014,23.235184,23.115607,21.348025,23.114689,23.089438,20.955478,23.120428,23.049035,21.137617,23.841148,24.002471,23.441499,23.473153,23.458932,23.681146,23.584384,21.707606,22.332727,22.407446,18.019560,17.415825,18.068521,18.528873,20.732027,21.613893,21.342826,21.268859,25.084301,23.200927,22.943355,24.887853,-0.297154,-0.325045,-0.319139,-0.251216,-0.001509,-697.154232,-725.045287,-719.138946,-651.216021,-401.508972,55.633998,59.704255,55.929420,55.338576,55.929420,180.630248,69.190580,256.783387,65.908115,62.231694
7/8/2024 9:41:17 AM,94.000000,100.440000,27.300000,40.000000,100.000000,0.000000,22.000000,21.000000,19.900000,8.200000,0.000000,23.977169,23.636336,21.318946,23.747071,23.581991,21.359729,23.207828,22.982177,20.979643,23.040493,22.986080,21.360420,22.944979,22.816370,20.815897,22.957837,22.939960,23.010910,21.189926,23.257200,23.105264,21.048387,23.253758,23.153925,21.116395,23.036164,22.893343,21.005732,22.874052,22.835237,20.937708,22.794123,21.583956,23.170289,23.010977,21.405908,23.368550,23.312338,22.409286,23.226517,23.121858,21.337480,23.122088,23.089262,20.946077,23.119104,23.059419,21.142050,23.838945,23.970942,23.454204,23.466820,23.469343,23.689259,23.600296,21.727955,22.361096,22.425467,18.040534,17.439383,18.091349,18.539394,20.759570,21.665792,21.349952,21.291886,24.957399,23.202301,22.947072,24.893544,-0.297810,-0.326686,-0.321764,-0.255810,-0.009056,-697.810492,-726.685937,-721.763986,-655.809842,-409.055967,55.798121,59.310360,55.535524,56.126368,55.962245,49.561437,69.781424,117.344341,66.137888,62.297343
7/8/2024 9:41:47 AM,94.000000,100.440000,27.300000,40.000000,100.000000,0.000000,22.000000,21.000000,19.900000,8.200000,0.000000,23.992615,23.646291,21.320885,23.760003,23.587590,21.378947,23.218021,22.984568,20.982506,23.066072,22.993752,21.379178,22.962296,22.844028,20.827757,22.959081,22.936324,23.000846,21.200797,23.263434,23.104843,21.048886,23.255173,23.167046,21.132800,23.038040,22.900500,21.006924,22.896596,22.848597,20.931981,22.791405,21.587433,23.172147,23.022249,21.400400,23.378207,23.311901,22.419883,23.241455,23.126700,21.340958,23.130373,23.082627,20.956707,23.115912,23.064721,21.148987,23.836916,23.995491,23.454697,23.473735,23.475799,23.703736,23.584048,21.739270,22.378143,22.437454,18.042425,17.444761,18.102752,18.553799,20.741379,21.613786,21.358493,21.276463,24.775373,23.207624,22.941400,24.896879,-0.298467,-0.327014,-0.323733,-0.259419,-0.014634,-698.466752,-727.014067,-723.732767,-659.419273,-414.634181,55.601173,58.949288,55.830946,56.192017,56.093543,118.033659,69.912723,171.242402,65.940940,62.527116
7/8/2024 9:42:17 AM,94.000000,100.440000,27.300000,40.000000,100.000000,0.000000,22.000000,21.000000,19.900000,8.200000,0.000000,23.970596,23.629988,21.304963,23.751040,23.588714,21.357267,23.201474,22.968242,20.970723,23.045157,22.972146,21.358649,22.941377,22.818969,20.817815,22.954465,22.938151,23.018744,21.205396,23.268702,23.109883,21.047262,23.256769,23.165430,21.132329,23.042621,22.901409,21.012908,22.894060,22.843304,20.935661,22.788638,21.603800,23.192361,23.034205,21.414701,23.393824,23.326603,22.419440,23.255930,23.136588,21.355261,23.134751,23.105370,20.977017,23.137965,23.069559,21.163296,23.826186,23.958415,23.460473,23.458409,23.473777,23.700798,23.574230,21.744146,22.399795,22.442553,18.058710,17.426448,18.126459,18.558014,20.739575,21.627184,21.344074,21.257893,24.802002,23.202261,22.939461,24.901962,-0.317826,-0.349983,-0.356874,-0.303061,-0.068776,-717.826426,-749.983171,-756.873902,-703.060573,-468.775664,55.732472,59.211886,55.568349,55.699647,55.929420,118.985574,69.354704,169.437047,65.776816,62.691239
