Time,A1,A2,A3,A5,A6,A7,B1,B2,B3,B5,B6,B7,C1,C2,C3,C5,C6,C7,D1,D2,D3,D5,D6,D7,E1,E2,E3,E5,E6,E7,F1,F2,F3,F5,F6,F7,G1,G2,G3,G5,G6,G7,H1,H2,H3,H5,H6,H7,SV1,SV2,SV4,SV5,SV6,Thermostat,SV3,SV2 New,SV3 New,Return,Bath2 SV,BGlobe,Heater 1,Humidifier 2,Total [V],Diffuse [V],Kitchen Pyranometer [V],Living Room Pyranometer [V],Master Bedroom Pyranometer [V],Bedroom2 Pyranometer [V],Bedroom3 Pyranometer [V],Total [W/m2],Diffuse [W/m2],Kitchen Pyranometer [W/m2],Living Room Pyranometer [W/m2],Master Bedroom Pyranometer [W/m2],Bedroom2 Pyranometer [W/m2],Bedroom3 Pyranometer [W/m2],SV1 RH[%],TStatRH[%],SV2 RH[%],SV3 RH[%],SV4 RH [%],SV5 RH [%],SV9 RH [%],SV6 RH [%]
6/8/2024 5:47:50 PM,26.963609,28.493523,45.340149,26.155761,27.008918,45.516920,23.991641,25.026583,33.666624,24.244062,24.577134,33.145606,24.954334,25.543438,25.613542,25.367103,27.474027,25.942213,25.163714,25.723795,24.381877,23.265445,25.570592,33.210322,24.976035,25.882654,33.328533,24.742990,24.942423,33.343364,23.527427,24.602742,33.981854,24.845770,25.346372,22.374338,-56926.333230,22.403535,33.794886,23.535993,24.652245,33.616604,25.327180,26.571651,44.388182,25.104137,26.316815,45.141209,24.608936,24.422868,23.562989,23.440972,22.026069,23.685663,23.867207,23.312958,22.973483,22.324151,15.441167,24.250010,1,1,0.578317,0.143951,-1.862076,-1.487464,-1.146998,-0.933263,-0.737913,578.317321,143.951216,0.000000,0.000000,0.000000,0.000000,0.000000,47.026696,47.741213,55.364165,56.609636,48.171908,49.236114,48.725134,51.122974
6/8/2024 5:48:20 PM,26.964465,28.482347,45.305217,26.140197,26.979493,45.487702,23.983567,25.003437,33.645013,24.242404,24.563578,33.133413,24.940103,25.524656,25.559597,25.367505,27.486121,25.935863,25.163524,25.717442,24.377566,23.264796,25.584104,33.204516,24.977903,25.881552,33.323853,24.738226,24.938575,33.341155,23.523568,24.590196,34.001848,24.864774,25.356446,22.368382,-56927.967697,22.395051,33.796703,23.546564,24.663478,33.615503,25.342967,26.587168,44.369083,25.105302,26.329833,45.116433,24.625094,24.449105,23.588815,23.462446,22.026211,23.649579,23.999795,23.330078,22.978446,22.289112,15.342360,24.267096,0,0,0.576347,0.150189,-1.480898,-1.171950,-0.883686,-0.704753,-0.528117,576.347406,150.189275,0.000000,0.000000,0.000000,0.000000,0.000000,46.567266,47.609948,55.429797,56.937800,48.532888,49.597094,48.462603,51.122974
6/8/2024 5:48:50 PM,26.992718,28.501432,45.315108,26.169411,27.007972,45.498466,23.993439,25.052153,33.658057,24.259598,24.576184,33.125565,24.942638,25.523762,25.561900,25.364784,27.481193,25.909013,25.164058,25.704050,24.340326,23.237565,25.574818,33.197399,24.968834,25.865882,33.314715,24.726864,24.932020,33.336736,23.504609,24.582721,33.991952,24.856519,25.352769,22.352726,-56925.641846,22.378936,33.793090,23.527966,24.653389,33.606049,25.330836,26.580538,44.367523,25.108709,26.312027,45.104561,24.724504,24.457690,23.590995,23.446735,21.974098,23.613696,23.841567,23.300137,22.985222,22.291299,15.171130,24.258969,1,1,0.584884,0.153801,-1.539995,-1.244837,-0.968721,-0.797667,-0.633179,584.883705,153.800784,0.000000,0.000000,0.000000,0.000000,0.000000,45.976572,47.609948,55.298532,55.953308,48.237541,49.039215,48.528235,50.794811
6/8/2024 5:49:20 PM,26.986965,28.484348,45.322727,26.166157,26.985371,45.502135,24.002084,25.044090,33.640256,24.252209,24.573834,33.121008,24.933201,25.518905,25.560012,25.344846,27.490612,25.927134,25.157295,25.713732,24.347746,23.216316,25.572857,33.195468,24.963212,25.855021,33.295032,24.714147,24.917708,33.329863,23.496675,24.575493,33.997915,24.852762,25.349701,22.339982,-56926.015711,22.371940,33.797932,23.528097,24.639334,33.617855,25.337592,26.571097,44.377099,25.097182,26.309877,45.123340,24.774352,24.452176,23.530432,23.423776,22.003759,23.607026,23.926569,23.302412,22.966603,22.287140,15.069532,24.259407,0,0,0.587510,0.152816,-1.429352,-1.150609,-0.888940,-0.726093,-0.565217,587.510259,152.815827,0.000000,0.000000,0.000000,0.000000,0.000000,46.009388,47.741213,55.889227,56.412738,48.073459,47.956275,48.561052,51.648036
6/8/2024 5:49:50 PM,26.991298,28.493889,45.335018,26.160690,26.995169,45.534377,24.007132,25.081360,33.637569,24.249927,24.587114,33.117419,24.936181,25.509777,25.559563,25.346681,27.495634,25.914374,25.150457,25.698683,24.300828,23.208762,25.567395,33.198409,24.957743,25.843857,33.291005,24.704329,24.892115,33.312578,23.499217,24.555602,33.984818,24.832323,25.334310,22.311157,-56925.009983,22.348405,33.782135,23.519527,24.624378,33.603400,25.326999,26.555746,44.386469,25.092069,26.286081,45.135110,24.652764,24.382246,23.497065,23.404854,21.912984,23.665154,23.956017,23.293810,22.970624,22.287717,15.015467,24.257921,1,1,0.586197,0.153801,-1.452663,-1.173920,-0.913563,-0.755314,-0.601332,586.196982,153.800784,0.000000,0.000000,0.000000,0.000000,0.000000,46.042205,47.609948,55.856410,56.215839,47.909377,48.120357,48.593868,51.516771
6/8/2024 5:50:20 PM,26.985606,28.480270,45.349715,26.167988,26.992209,45.537008,24.008048,25.094846,33.628810,24.242828,24.574070,33.103930,24.919946,25.497901,25.555909,25.339827,27.485301,25.894878,25.150358,25.707260,24.439006,23.215777,25.561587,33.185949,24.956043,25.840563,33.284166,24.709263,24.898877,33.316526,23.480998,24.555732,33.978255,24.827464,25.334254,22.295005,-56924.257201,22.318919,33.779387,23.503875,24.632559,33.600650,25.318718,26.549537,44.387734,25.085842,26.297198,45.130887,24.621433,24.362345,23.482401,23.355775,21.900573,23.578037,23.781170,23.273633,22.945152,22.239212,14.933494,24.238701,0,0,0.576019,0.157084,-1.457587,-1.177203,-0.913235,-0.754986,-0.602646,576.019087,157.083973,0.000000,0.000000,0.000000,0.000000,0.000000,45.746857,47.281784,55.790778,56.084574,48.073459,48.054724,48.265704,51.418322
6/8/2024 5:50:50 PM,26.983976,28.494079,45.368982,26.156776,27.006743,45.543989,23.995868,25.079494,33.622486,24.240272,24.571745,33.099622,24.924025,25.499691,25.557471,25.334079,27.484082,25.910542,25.146619,25.700329,24.433430,23.171400,25.563560,33.186767,24.947958,25.842763,33.275995,24.701402,24.901310,33.306558,23.467612,24.557481,33.982295,24.821976,25.330143,22.280749,-56925.936410,22.318460,33.776020,23.499748,24.623408,33.597507,25.313921,26.549538,44.400042,25.081728,26.297198,45.148224,24.578568,24.514947,23.449525,23.349046,21.915226,23.633453,23.782470,23.293750,22.994673,22.203489,14.880385,24.245267,1,1,0.580287,0.159382,-1.250090,-0.986778,-0.739226,-0.587871,-0.437173,580.287236,159.382205,0.000000,0.000000,0.000000,0.000000,0.000000,46.436001,47.544315,55.101634,55.723594,47.909377,48.350072,48.626684,51.910567
6/8/2024 5:51:20 PM,26.980166,28.492096,45.354783,26.161626,26.999291,45.560054,23.994096,25.097156,33.616932,24.229570,24.568831,33.090015,24.915168,25.498153,25.560500,25.339851,27.475630,25.885632,25.139041,25.690932,24.424696,23.157593,25.548681,33.171897,24.942434,25.833827,33.275735,24.689699,24.891669,33.289443,23.464594,24.541425,33.976206,24.817828,25.322801,22.251054,-56927.361950,22.300954,33.765662,23.498800,24.611707,33.604888,25.325085,26.549735,44.418911,25.087412,26.299448,45.155875,24.555401,24.283225,23.399005,23.356334,21.898372,23.613909,23.582494,23.244590,23.014594,22.156515,14.977979,24.256434,0,0,0.575362,0.157084,-1.246478,-0.995643,-0.754986,-0.608884,-0.459499,575.362449,157.083973,0.000000,0.000000,0.000000,0.000000,0.000000,46.764165,47.544315,54.970368,55.822043,48.106275,48.612603,48.298521,51.188607
6/8/2024 5:51:50 PM,26.979861,28.493382,45.344180,26.146724,27.000125,45.563708,23.993560,25.085421,33.607648,24.230867,24.565093,33.089265,24.913261,25.488255,25.509267,25.331321,27.467947,25.862861,25.123776,25.676599,24.381022,23.152364,25.532744,33.163629,24.923048,25.807629,33.259827,24.667327,24.873653,33.278705,23.451799,24.527744,33.948952,24.795998,25.308305,22.247272,-56925.907868,22.278317,33.766236,23.478973,24.593529,33.596479,25.304878,26.539607,44.412661,25.071309,26.290910,45.140416,24.520999,24.172771,23.403060,23.316797,21.860554,23.585630,23.424853,23.277330,22.931860,22.136430,15.037231,24.255673,1,1,0.539247,0.155114,-1.381746,-1.119419,-0.868584,-0.719199,-0.571784,539.247339,155.114059,0.000000,0.000000,0.000000,0.000000,0.000000,45.910939,47.806846,55.561063,56.018941,48.368806,49.695543,48.856399,51.582404
6/8/2024 5:52:20 PM,26.995500,28.497623,45.365389,26.140267,27.009388,45.562981,23.998529,25.099293,33.599493,24.228047,24.573946,33.091218,24.907015,25.498005,25.490696,25.328051,27.480445,25.872434,25.134736,25.681154,24.374601,23.148679,25.543010,33.175531,24.938128,25.823594,33.261839,24.682416,24.877072,33.283863,23.451558,24.545354,33.966888,24.791406,25.310344,22.244725,-56929.064742,22.284048,33.772954,23.481478,24.604266,33.609487,25.311258,26.536171,44.417918,25.083407,26.304801,45.149616,24.532348,24.202221,23.438522,23.327486,21.963328,23.524993,23.325192,23.183835,22.839444,22.164627,15.075203,24.250770,0,0,0.548440,0.158726,-1.393565,-1.128940,-0.876463,-0.724780,-0.579663,548.440276,158.725568,0.000000,0.000000,0.000000,0.000000,0.000000,46.304735,47.314600,55.134450,56.773718,48.696970,49.629910,48.725134,51.319873
