Time,A1,A2,A3,A5,A6,A7,B1,B2,B3,B5,B6,B7,C1,C2,C3,C5,C6,C7,D1,D2,D3,D5,D6,D7,E1,E2,E3,E5,E6,E7,F1,F2,F3,F5,F6,F7,G1,G2,G3,G5,G6,G7,H1,H2,H3,H5,H6,H7,SV1,SV2,SV4,SV5,SV6,Return RH,CO2 [ppm],TVOC [ug/m3],Thermostat,SV3,SV2 New,SV3 New,Return,Bath2 SV,BGlobe,Heater 1,Humidifier 2,Total [V],Diffuse [V],Kitchen Pyranometer [V],Living Room Pyranometer [V],Master Bedroom Pyranometer [V],Bedroom2 Pyranometer [V],Bedroom3 Pyranometer [V],Total [W/m2],Diffuse [W/m2],Kitchen Pyranometer [W/m2],Living Room Pyranometer [W/m2],Master Bedroom Pyranometer [W/m2],Bedroom2 Pyranometer [W/m2],Bedroom3 Pyranometer [W/m2],SV1 RH[%],TStatRH[%],SV2 RH[%],SV3 RH[%],SV4 RH [%],SV5 RH [%],SV9 RH [%],SV6 RH [%]
7/16/2024 10:17:30 PM,25.342196,25.608286,28.066634,24.692220,24.898763,28.315090,24.041352,24.446676,27.878048,24.068385,24.180163,27.610493,24.467505,24.706404,24.189782,24.665223,25.535978,24.911193,24.839613,24.992366,27.283257,23.967201,24.887868,27.900627,24.240933,24.636247,27.683558,24.156425,24.203147,27.622170,23.667863,24.191467,28.241899,24.535174,24.685737,23.306916,-56759.040977,23.337662,27.937509,23.774993,24.308324,27.856382,24.411118,24.668350,27.633382,24.073118,24.333738,27.640885,24.560355,24.362822,24.175284,23.747951,22.923356,23.903348,23.743825,23.541593,23.319314,23.166250,18.986780,23.954219,1,1,0.004744,0.000476,-2.026892,-1.621747,-1.262238,-1.012059,-0.781579,4.744005,0.475860,0.000000,0.000000,0.000000,0.000000,0.000000,55.066707,55.321795,64.257401,64.715280,53.258446,55.865021,53.417875,56.898656,58.591025,407.475599,815.593667
7/16/2024 10:18:00 PM,25.335925,25.608868,28.071984,24.692804,24.908494,28.320211,24.042166,24.445657,27.862038,24.067365,24.176625,27.617667,24.472667,24.698066,24.185328,24.660545,25.549186,24.913442,24.858786,25.003531,27.277759,23.960290,24.914128,27.904225,24.237002,24.652226,27.674427,24.155013,24.207918,27.620313,23.664844,24.190055,28.245224,24.548823,24.710363,23.309129,-56760.747658,23.333679,27.949698,23.776286,24.302518,27.860391,24.416072,24.676275,27.648534,24.074640,24.330451,27.638530,24.554490,24.415102,24.138264,23.709293,22.852708,23.886245,23.647849,23.530670,23.292553,23.155777,19.052859,23.946055,0,0,0.000804,0.008027,-1.844675,-1.483196,-1.160131,-0.934904,-0.721825,0.804179,8.027194,0.000000,0.000000,0.000000,0.000000,0.000000,55.099523,55.256162,64.323034,64.944994,53.291262,54.617999,53.581957,57.358085,58.558209,407.344334,810.671214
7/16/2024 10:18:30 PM,25.338480,25.602517,28.065438,24.703369,24.905334,28.302542,24.027775,24.439977,27.865261,24.067407,24.177812,27.609068,24.482551,24.708174,24.179415,24.654867,25.542058,24.902189,24.835868,24.999825,27.271112,23.930911,24.898302,27.883043,24.237412,24.647144,27.665967,24.150842,24.188403,27.600256,23.648058,24.179471,28.244786,24.543806,24.713126,23.291937,-56760.652818,23.324748,27.946307,23.780200,24.300932,27.857454,24.413800,24.683385,27.633317,24.070534,24.335276,27.641957,24.551476,24.347299,24.117152,23.672801,22.921794,23.860080,23.665923,23.574891,23.275763,23.141966,19.060460,23.940974,1,1,-0.001166,0.001461,-1.639476,-1.315754,-1.022237,-0.817038,-0.618077,-1.165734,1.460816,0.000000,0.000000,0.000000,0.000000,0.000000,55.033890,55.288979,64.191768,65.831036,53.291262,54.125753,53.778855,57.226820,58.328494,405.637883,813.132440
7/16/2024 10:19:00 PM,25.333293,25.610805,28.061189,24.693600,24.914321,28.301702,24.030363,24.446454,27.856466,24.069079,24.185667,27.604133,24.475066,24.708699,24.155893,24.652876,25.546905,24.897209,24.842780,25.007649,27.265474,23.905756,24.905899,27.886503,24.237463,24.641017,27.656014,24.149061,24.190058,27.607356,23.640314,24.185019,28.243434,24.534891,24.711992,23.269230,-56759.029276,23.298372,27.932684,23.759809,24.301859,27.850646,24.419076,24.679506,27.628325,24.065275,24.322007,27.629917,24.548280,24.204882,24.131592,23.660888,22.884830,23.850921,23.614571,23.551050,23.284033,23.150008,19.045650,23.924026,0,0,0.003431,0.002446,-1.545248,-1.242210,-0.964453,-0.772058,-0.585901,3.430730,2.445773,0.000000,0.000000,0.000000,0.000000,0.000000,55.263605,55.288979,64.519932,65.207525,53.258446,54.617999,53.844488,57.390901,58.722291,402.290615,809.883621
7/16/2024 10:19:30 PM,25.320648,25.605702,28.056567,24.681853,24.900978,28.275284,24.018599,24.441110,27.844342,24.053651,24.166349,27.590184,24.463084,24.702901,24.132680,24.648678,25.545729,24.889857,24.847091,25.003957,27.250649,23.886013,24.909524,27.877833,24.235826,24.647390,27.649613,24.154982,24.199642,27.591177,23.636611,24.168953,28.235056,24.543383,24.721167,23.250667,-56758.837426,23.287841,27.938161,23.774275,24.302341,27.842716,24.413606,24.680674,27.632215,24.071026,24.321803,27.627667,24.531048,24.309462,24.126713,23.660360,22.895785,23.854520,23.634451,23.522085,23.277080,23.132725,19.083784,23.913646,1,1,-0.012000,0.006057,-1.501582,-1.207409,-0.938516,-0.751046,-0.569157,-12.000257,6.057280,0.000000,0.000000,0.000000,0.000000,0.000000,55.296421,55.288979,64.388667,65.174709,53.422528,54.814897,53.910120,57.620616,58.623842,400.452899,809.292927
7/16/2024 10:20:00 PM,25.334668,25.606699,28.067327,24.684453,24.907007,28.281951,24.014788,24.442796,27.836924,24.061294,24.173990,27.591858,24.467058,24.704128,24.130702,24.656311,25.546305,24.894322,24.851099,25.019852,27.256457,23.863674,24.905070,27.872498,24.239380,24.646594,27.654962,24.151437,24.197014,27.585838,23.630081,24.170905,28.232457,24.541450,24.717863,23.234042,-56758.027227,23.262727,27.926926,23.771193,24.300636,27.841706,24.411902,24.666158,27.623018,24.054430,24.316892,27.612786,24.535798,24.253306,24.144064,23.639210,22.901929,23.841171,23.567896,23.537395,23.327044,23.129914,19.151559,23.914506,0,0,0.003759,0.000804,-1.528832,-1.239912,-0.973974,-0.790116,-0.612824,3.759048,0.804179,0.000000,0.000000,0.000000,0.000000,0.000000,55.624585,55.256162,64.519932,65.699771,53.258446,54.749264,53.975753,57.719065,58.426943,399.074612,806.733251
7/16/2024 10:20:30 PM,25.330219,25.598599,28.051772,24.676795,24.902326,28.259591,24.005745,24.442230,27.829317,24.037132,24.153498,27.576061,24.461915,24.696242,24.112269,24.647738,25.552979,24.883167,24.847948,25.007786,27.244220,23.847224,24.909237,27.860731,24.232104,24.633832,27.631139,24.144159,24.194088,27.569289,23.619126,24.163398,28.224299,24.538035,24.708501,23.213865,-56756.700904,23.260909,27.914673,23.762958,24.299509,27.823768,24.411004,24.660914,27.615987,24.056739,24.316910,27.608711,24.511627,24.175760,24.082307,23.623248,22.846669,23.832779,23.551243,23.511796,23.316808,23.113016,19.158593,23.883428,1,1,-0.003136,0.002446,-1.452006,-1.170309,-0.910609,-0.731675,-0.556024,-3.135648,2.445773,0.000000,0.000000,0.000000,0.000000,0.000000,55.526136,55.256162,64.913729,65.470056,53.455344,54.289835,54.041386,57.620616,58.394127,399.337143,802.893737
7/16/2024 10:21:00 PM,25.339329,25.611814,28.071507,24.690264,24.918304,28.276139,24.007319,24.454790,27.836106,24.055888,24.172937,27.588311,24.471270,24.702389,24.124838,24.649082,25.551289,24.873470,24.853574,25.009294,27.228654,23.847819,24.900455,27.844049,24.231096,24.628249,27.632184,24.131698,24.193538,27.561693,23.614448,24.150480,28.231937,24.549393,24.729463,23.225255,-56757.717300,23.248204,27.917316,23.770209,24.307896,27.836412,24.410004,24.670668,27.617723,24.065131,24.312018,27.621815,24.523322,24.196853,24.091035,23.627857,22.882750,23.810799,23.555853,23.508150,23.277594,23.116712,19.171117,23.890327,0,0,0.002117,0.003102,-1.478928,-1.194604,-0.932606,-0.752359,-0.576709,2.117454,3.102411,0.000000,0.000000,0.000000,0.000000,0.000000,55.427687,55.387428,64.946545,66.093567,53.652242,55.700939,54.139835,58.014412,58.262862,398.221386,798.069733
7/16/2024 10:21:30 PM,25.337846,25.608048,28.064807,24.674365,24.903099,28.255136,23.993918,24.433161,27.818267,24.041801,24.157708,27.558637,24.454449,24.690152,24.105943,24.632266,25.558160,24.884697,24.858168,25.014116,27.222986,23.819420,24.906193,27.840206,24.237299,24.635591,27.621063,24.137445,24.182794,27.561714,23.611488,24.158059,28.224007,24.560854,24.723534,23.213799,-56757.080847,23.250746,27.917334,23.772749,24.304938,27.816884,24.407962,24.672745,27.617059,24.051633,24.318447,27.612284,24.479878,24.212926,24.050529,23.603593,22.964772,23.803047,23.538007,23.467136,23.251935,23.089208,19.142686,23.862638,1,1,-0.000837,0.001789,-1.533429,-1.242867,-0.975287,-0.791429,-0.614793,-0.837416,1.789135,0.000000,0.000000,0.000000,0.000000,0.000000,55.624585,55.354612,64.782463,65.568505,53.619426,55.110244,54.303917,58.375393,58.426943,398.352652,793.934872
7/16/2024 10:22:00 PM,25.337682,25.605144,28.064644,24.677175,24.904764,28.250886,23.988713,24.421093,27.821285,24.036825,24.152505,27.552334,24.447875,24.684725,24.100739,24.637365,25.567182,24.870863,24.855769,25.013089,27.217640,23.799137,24.914313,27.836003,24.247721,24.644631,27.615495,24.142142,24.197339,27.556599,23.612981,24.143288,28.215108,24.545250,24.705189,23.192642,-56754.706966,23.230738,27.908202,23.752763,24.298026,27.815478,24.391208,24.659204,27.606784,24.053652,24.302835,27.600645,24.485518,24.254980,24.021122,23.603511,22.929098,23.818780,23.532879,23.486320,23.235789,23.098767,19.178483,23.863931,0,0,0.003102,0.002117,-1.448066,-1.164071,-0.902401,-0.722810,-0.548473,3.102411,2.117454,0.000000,0.000000,0.000000,0.000000,0.000000,55.723034,55.420244,64.848096,65.535689,53.816324,55.963470,54.500815,58.014412,58.426943,399.140244,792.458136
