date,DNI(W/m2),precipitation,rain,snowfall,snow_depth
2024-06-01 00:00:00+00:00,173.45871,0,0,0,0
2024-06-01 01:00:00+00:00,0,0,0,0,0
2024-06-01 02:00:00+00:00,0,0,0,0,0
2024-06-01 03:00:00+00:00,0,0,0,0,0
2024-06-01 04:00:00+00:00,0,0,0,0,0
2024-06-01 05:00:00+00:00,0,0,0,0,0
2024-06-01 06:00:00+00:00,0,0,0,0,0
2024-06-01 07:00:00+00:00,0,0,0,0,0
2024-06-01 08:00:00+00:00,0,0,0,0,0
2024-06-01 09:00:00+00:00,0,0,0,0,0
2024-06-01 10:00:00+00:00,0,0,0,0,0
2024-06-01 11:00:00+00:00,0,0,0,0,0
2024-06-01 12:00:00+00:00,54.46118,0,0,0,0
2024-06-01 13:00:00+00:00,306.76944,0,0,0,0
2024-06-01 14:00:00+00:00,285.7236,0,0,0,0
2024-06-01 15:00:00+00:00,631.88403,0,0,0,0
2024-06-01 16:00:00+00:00,706.34686,0.3,0.3,0,0
2024-06-01 17:00:00+00:00,588.80035,0.3,0.3,0,0
2024-06-01 18:00:00+00:00,563.45654,0.4,0.4,0,0
2024-06-01 19:00:00+00:00,748.013,0.1,0.1,0,0
2024-06-01 20:00:00+00:00,614.48566,0.1,0.1,0,0
2024-06-01 21:00:00+00:00,399.39648,0.1,0.1,0,0
2024-06-01 22:00:00+00:00,143.65018,2.2,2.2,0,0
2024-06-01 23:00:00+00:00,343.95233,0.1,0.1,0,0
2024-06-02 00:00:00+00:00,316.40866,0,0,0,0
2024-06-02 01:00:00+00:00,23.096025,0,0,0,0
2024-06-02 02:00:00+00:00,0,0,0,0,0
2024-06-02 03:00:00+00:00,0,0,0,0,0
2024-06-02 04:00:00+00:00,0,0,0,0,0
2024-06-02 05:00:00+00:00,0,0,0,0,0
2024-06-02 06:00:00+00:00,0,0,0,0,0
2024-06-02 07:00:00+00:00,0,0,0,0,0
2024-06-02 08:00:00+00:00,0,0,0,0,0
2024-06-02 09:00:00+00:00,0,0,0,0,0
2024-06-02 10:00:00+00:00,0,0,0,0,0
2024-06-02 11:00:00+00:00,0,0,0,0,0
2024-06-02 12:00:00+00:00,0,0,0,0,0
2024-06-02 13:00:00+00:00,4.637511,0,0,0,0
2024-06-02 14:00:00+00:00,47.583916,0.1,0.1,0,0
2024-06-02 15:00:00+00:00,377.3599,0,0,0,0
2024-06-02 16:00:00+00:00,578.988,0,0,0,0
2024-06-02 17:00:00+00:00,241.08685,0.1,0.1,0,0
2024-06-02 18:00:00+00:00,444.2457,4.9,4.9,0,0
2024-06-02 19:00:00+00:00,202.64584,0.4,0.4,0,0
2024-06-02 20:00:00+00:00,194.94048,0,0,0,0
2024-06-02 21:00:00+00:00,16.101105,0,0,0,0
2024-06-02 22:00:00+00:00,2.7070172,0,0,0,0
2024-06-02 23:00:00+00:00,164.62589,0,0,0,0
2024-06-03 00:00:00+00:00,58.28441,0,0,0,0
