Time,DAIKIN ONE STAGE HP:DesPer 1:Des Heat Mass Flow [kg/s],DAIKIN ONE STAGE HP:DesPer 1:Des Heat Cap [W],DAIKIN ONE STAGE HP:DesPer 1:Des Cool Mass Flow [kg/s],DAIKIN ONE STAGE HP:DesPer 1:Des Sens Cool Cap [W],DAIKIN ONE STAGE HP:DesPer 1:Des Tot Cool Cap [W],DAIKIN ONE STAGE HP:DesPer 2:Des Heat Mass Flow [kg/s],DAIKIN ONE STAGE HP:DesPer 2:Des Heat Cap [W],DAIKIN ONE STAGE HP:DesPer 2:Des Cool Mass Flow [kg/s],DAIKIN ONE STAGE HP:DesPer 2:Des Sens Cool Cap [W],DAIKIN ONE STAGE HP:DesPer 2:Des Tot Cool Cap [W]
00:01:00,4.201267E-02,1.273293E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.297688E-02,6.775442E+02,1.370284E+03
00:02:00,4.214091E-02,1.283309E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.300194E-02,6.753831E+02,1.213879E+03
00:03:00,4.478506E-02,1.366385E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.513380E-02,7.077869E+02,1.171719E+03
00:04:00,5.761388E-02,1.757410E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.511863E-02,8.628579E+02,1.382437E+03
00:05:00,6.612452E-02,2.017021E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.488932E-02,1.009853E+03,1.580196E+03
00:06:00,7.439520E-02,2.269215E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.232124E-02,1.121123E+03,1.706982E+03
00:07:00,8.276014E-02,2.524302E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.028861E-02,1.238929E+03,1.842948E+03
00:08:00,9.103762E-02,2.776724E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.816838E-02,1.354101E+03,1.973630E+03
00:09:00,9.921782E-02,3.026177E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.596056E-02,1.466659E+03,2.099829E+03
00:10:00,1.073040E-01,3.272760E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.036602E-01,1.576559E+03,2.222129E+03
00:11:00,1.152997E-01,3.516587E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.112695E-01,1.683855E+03,2.341140E+03
00:12:00,1.232077E-01,3.757737E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.187899E-01,1.788596E+03,2.457305E+03
00:13:00,1.310294E-01,3.996252E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.262223E-01,1.890819E+03,2.570925E+03
00:14:00,1.387729E-01,4.232383E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.335749E-01,1.990667E+03,2.682369E+03
00:15:00,1.464415E-01,4.466230E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.408506E-01,2.088206E+03,2.791807E+03
00:16:00,1.540368E-01,4.697837E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.480507E-01,2.183474E+03,2.899340E+03
00:17:00,1.615608E-01,4.927271E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.551763E-01,2.276508E+03,3.005057E+03
00:18:00,1.690153E-01,5.154583E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.622287E-01,2.367346E+03,3.109034E+03
00:19:00,1.764011E-01,5.379802E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.692087E-01,2.456019E+03,3.211327E+03
00:20:00,1.837232E-01,5.603074E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.761208E-01,2.542611E+03,3.312049E+03
00:21:00,1.909834E-01,5.824460E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.829669E-01,2.627168E+03,3.411237E+03
00:22:00,1.981829E-01,6.043994E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.897482E-01,2.709721E+03,3.508901E+03
00:23:00,2.053234E-01,6.261726E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.964654E-01,2.790302E+03,3.605059E+03
00:24:00,2.124061E-01,6.477696E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.031198E-01,2.868941E+03,3.699728E+03
00:25:00,2.194319E-01,6.691926E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.097118E-01,2.945666E+03,3.792919E+03
00:26:00,2.264038E-01,6.904517E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.162448E-01,3.020535E+03,3.884690E+03
00:27:00,2.333236E-01,7.115512E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.227200E-01,3.093584E+03,3.975049E+03
00:28:00,2.401919E-01,7.324940E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.291384E-01,3.164838E+03,4.063993E+03
00:29:00,2.470101E-01,7.532841E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.355007E-01,3.234326E+03,4.151530E+03
00:30:00,2.537794E-01,7.739245E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.418079E-01,3.302073E+03,4.237670E+03
00:31:00,2.605002E-01,7.944172E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.480604E-01,3.368102E+03,4.322419E+03
00:32:00,2.671751E-01,8.147698E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.542607E-01,3.432458E+03,4.405815E+03
00:33:00,2.738051E-01,8.349855E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.604099E-01,3.495170E+03,4.487865E+03
00:34:00,2.803911E-01,8.550667E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.665087E-01,3.556260E+03,4.568569E+03
00:35:00,2.869340E-01,8.750166E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.725577E-01,3.615752E+03,4.647933E+03
00:36:00,2.934347E-01,8.948378E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.785578E-01,3.673668E+03,4.725968E+03
00:37:00,2.998938E-01,9.145319E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.845094E-01,3.730028E+03,4.802681E+03
00:38:00,3.063132E-01,9.341049E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.904144E-01,3.784867E+03,4.878105E+03
00:39:00,3.126937E-01,9.535593E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.962737E-01,3.838211E+03,4.952245E+03
00:40:00,3.190361E-01,9.728972E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.020879E-01,3.890078E+03,5.025105E+03
