Time,ROOM_BDR_2:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_BDR_2:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_BDR_2:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_BDR_2:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_BDR_3:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_BDR_3:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_BDR_3:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_BDR_3:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_BATH:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_BATH:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_BATH:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_BATH:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_LIVING:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_LIVING:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_LIVING:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_LIVING:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_BDR_1:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_BDR_1:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_BDR_1:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_BDR_1:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_UTILITY:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_UTILITY:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_UTILITY:COLLEGE STATION EASTERWOOD FL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_UTILITY:COLLEGE STATION EASTERWOOD FL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:01:00,2.229935E+02,6.840106E+01,5.481139E-03,4.612214E-03,1.897667E+02,6.213873E+01,4.870839E-03,4.297917E-03,9.831718E+01,4.324600E+01,2.516486E-03,2.796207E-03,6.475224E+02,3.067762E+02,1.653519E-02,1.908537E-02,3.932434E+02,1.322852E+02,9.532723E-03,8.633955E-03,1.395078E+02,6.905617E+01,3.076295E-03,3.551219E-03
00:02:00,2.229935E+02,6.840106E+01,5.481139E-03,4.612214E-03,1.897667E+02,6.213873E+01,4.870839E-03,4.297917E-03,9.831718E+01,4.324600E+01,2.516486E-03,2.796207E-03,6.475224E+02,3.067762E+02,1.653519E-02,1.908537E-02,3.932434E+02,1.322852E+02,9.532723E-03,8.633955E-03,1.439056E+02,6.939990E+01,3.204534E-03,3.576279E-03
00:03:00,2.229935E+02,6.840106E+01,5.481139E-03,4.612214E-03,1.986729E+02,6.213873E+01,5.171209E-03,4.297917E-03,9.831718E+01,4.324600E+01,2.516486E-03,2.796207E-03,6.875713E+02,3.225362E+02,1.788338E-02,2.051263E-02,3.932434E+02,1.322852E+02,9.532723E-03,8.633955E-03,1.744112E+02,7.745129E+01,4.200123E-03,4.280883E-03
00:04:00,2.753187E+02,7.223981E+01,7.201833E-03,4.964720E-03,2.510325E+02,7.330880E+01,6.883301E-03,5.298544E-03,1.158818E+02,4.727495E+01,3.102034E-03,3.164602E-03,8.592045E+02,4.028542E+02,2.349607E-02,2.755056E-02,4.525373E+02,1.322852E+02,1.152074E-02,8.633955E-03,2.114432E+02,9.144073E+01,5.409897E-03,5.506255E-03
00:05:00,3.042123E+02,8.508135E+01,8.146351E-03,6.090079E-03,2.801315E+02,8.343487E+01,7.834161E-03,6.186311E-03,1.304150E+02,5.444216E+01,3.577405E-03,3.793090E-03,9.603245E+02,4.489136E+02,2.680033E-02,3.158606E-02,5.077700E+02,1.569484E+02,1.332798E-02,1.079924E-02,2.429215E+02,1.020358E+02,6.438290E-03,6.434540E-03
00:06:00,3.337737E+02,9.036952E+01,9.112486E-03,6.553294E-03,3.117345E+02,9.106589E+01,8.867003E-03,6.854696E-03,1.417713E+02,5.819667E+01,3.948561E-03,4.121957E-03,1.069056E+03,4.990160E+02,3.035378E-02,3.597447E-02,5.486614E+02,1.645770E+02,1.466442E-02,1.146755E-02,2.738533E+02,1.124779E+02,7.448954E-03,7.349266E-03
00:07:00,3.634776E+02,9.741520E+01,1.008328E-02,7.170305E-03,3.431836E+02,9.934985E+01,9.894822E-03,7.580186E-03,1.537948E+02,6.269074E+01,4.341534E-03,4.515519E-03,1.177636E+03,5.486744E+02,3.390230E-02,4.032391E-02,5.923437E+02,1.757909E+02,1.609211E-02,1.244956E-02,3.043698E+02,1.227509E+02,8.446092E-03,8.249131E-03
00:08:00,3.928005E+02,1.043373E+02,1.104163E-02,7.776512E-03,3.742415E+02,1.075587E+02,1.090987E-02,8.299097E-03,1.656922E+02,6.711870E+01,4.730385E-03,4.903297E-03,1.285212E+03,5.978889E+02,3.741805E-02,4.463433E-02,6.356235E+02,1.868556E+02,1.750663E-02,1.341855E-02,3.345131E+02,1.328826E+02,9.431051E-03,9.136595E-03
00:09:00,4.217240E+02,1.111907E+02,1.198694E-02,8.376702E-03,4.049129E+02,1.156789E+02,1.191231E-02,9.010232E-03,1.774128E+02,7.148944E+01,5.113464E-03,5.286059E-03,1.391755E+03,6.465594E+02,4.090008E-02,4.889701E-02,6.782658E+02,1.978156E+02,1.890034E-02,1.437835E-02,3.643092E+02,1.428793E+02,1.040468E-02,1.001221E-02
00:10:00,4.502616E+02,1.179578E+02,1.291966E-02,8.969323E-03,4.352080E+02,1.237045E+02,1.290246E-02,9.713083E-03,1.889643E+02,7.579710E+01,5.491018E-03,5.663292E-03,1.497283E+03,6.946950E+02,4.434899E-02,5.311274E-02,7.203010E+02,2.086282E+02,2.027423E-02,1.532524E-02,3.937774E+02,1.527476E+02,1.136760E-02,1.087656E-02
00:11:00,4.784303E+02,1.246416E+02,1.384032E-02,9.554646E-03,4.651400E+02,1.316373E+02,1.388075E-02,1.040779E-02,2.003534E+02,8.004345E+01,5.863268E-03,6.035152E-03,1.601828E+03,7.423027E+02,4.776580E-02,5.728217E-02,7.617553E+02,2.192989E+02,2.162914E-02,1.625969E-02,4.229359E+02,1.624922E+02,1.232042E-02,1.173006E-02
00:12:00,5.062431E+02,1.312436E+02,1.474936E-02,1.013280E-02,4.947188E+02,1.394784E+02,1.484751E-02,1.109446E-02,2.115846E+02,8.422972E+01,6.230361E-03,6.401748E-03,1.705411E+03,7.893887E+02,5.115117E-02,6.140583E-02,8.026487E+02,2.298300E+02,2.296573E-02,1.718191E-02,4.517998E+02,1.721178E+02,1.326360E-02,1.257313E-02
00:13:00,5.337059E+02,1.377646E+02,1.564697E-02,1.070385E-02,5.239491E+02,1.472286E+02,1.580289E-02,1.177317E-02,2.226609E+02,8.835685E+01,6.592392E-03,6.763161E-03,1.808040E+03,8.359562E+02,5.450540E-02,6.548403E-02,8.429900E+02,2.402229E+02,2.428428E-02,1.809203E-02,4.803767E+02,1.816275E+02,1.419742E-02,1.340605E-02
00:14:00,5.608471E+02,1.442092E+02,1.653408E-02,1.126821E-02,5.528689E+02,1.548959E+02,1.674813E-02,1.244461E-02,2.335875E+02,9.242608E+01,6.949536E-03,7.119501E-03,1.909845E+03,8.820733E+02,5.783272E-02,6.952275E-02,8.828183E+02,2.504842E+02,2.558608E-02,1.899061E-02,5.086812E+02,1.910255E+02,1.512233E-02,1.422918E-02
